"What was Dräxlmaier's involvement with the Maybach?","Dräxlmaier developed, produced, and delivered the complete wiring system and interior for the Maybach luxury sedan in 2002."
"When did Dräxlmaier open its plant in Shenyang?","Dräxlmaier opened its plant in Shenyang, China, in 2003."
"Which car brands became customers around 2003?","Around 2003, Porsche, Jaguar, and Cadillac became customers."
"Did Dräxlmaier expand to South Africa?","Yes, Dräxlmaier expanded to South Africa in 2005."
"Which countries saw new Dräxlmaier sites in 2006?","In 2006, new sites were opened in Thailand, Spain, and Mexico."
"Tell me about the Moldova plant.","The Moldova plant was a new factory built in Balti in 2007, employing 2,000 people."
"What innovative material was introduced in 2008?","In 2008, a natural fibre composite material for vehicle interiors was introduced."
"Which car first used this natural fibre material?","The BMW 7 Series was the first car to use the natural fibre material in its door panel."
"Did Dräxlmaier open a site in Serbia?","Yes, a production plant was opened in Serbia in 2008."
"When did the company begin working on electromobility prototypes?","The company began working on electromobility prototypes in 2009."
"What was Dräxlmaier's contribution to the Porsche Panamera?","Dräxlmaier supplied the complete interior and electrical system for the Porsche Panamera."
"What was the world's first product developed by Dräxlmaier in 2011?","In 2011, Dräxlmaier developed the world's first door panel with visible natural fibre."
"Which car first featured the visible natural fibre door panel?","The all-electric BMW i3 first featured the visible natural fibre door panel in 2013."
"Did Dräxlmaier build a plant in Macedonia?","Yes, a plant was built in Kavadarci, Macedonia, in 2012."
"When did the Leipzig site open?","The Leipzig site opened in 2013."
"What was Dräxlmaier Aviation?","Dräxlmaier Aviation was a business segment from 2013 to 2017 that produced interiors for private and business aircraft."
"In which year did Tesla become a client?","Tesla became a client in 2014."
"What happened to QESTRONIC in 2015?","In 2015, QESTRONIC Advanced Technologies GmbH was integrated into the Dräxlmaier Group."
"Where was a new Chinese plant opened in 2016?","In 2016, a new plant for interior components was opened in Langfang, China."
"What is the purpose of the Garching campus collaboration?","The collaboration with TUM at the Garching campus is for research and development on future automotive topics."
"Where in the US did Dräxlmaier open a plant in 2017?","In 2017, a plant for interior components was opened in Livermore, USA."
"Tell me about the Dräxlmaier Campus.","The Dräxlmaier Campus, built in 2018 at the TUM Garching site, is a hub for developers and researchers to work on future automotive industry topics."
"Where in Germany are 800-volt batteries produced?","800-volt batteries are produced at the plant in Sachsenheim near Stuttgart, built in 2019."
"Who were the CEOs appointed on April 1, 2020?","Franz Haslinger and Martin Gall were appointed as CEOs on April 1, 2020."
"Who are the current heads of the company?","The current heads of the company are Stefan Brandl and Franz Haslinger, as of August 2021."
"What is Fritz Dräxlmaier's role now?","Fritz Dräxlmaier serves as chairman of the board and a representative of the shareholders."
"Which magazine recognized Dräxlmaier as a 'World's Best Employer'?","Forbes magazine recognized Dräxlmaier as a 'World's Best Employer'."
"How many years in a row has Dräxlmaier been a Top Employer in Germany?","As of 2024, it has been a Top Employer for 16 years in a row."
"What anniversary did the company celebrate in 2023?","The company celebrated its 65th anniversary in 2023."
"Did Dräxlmaier win an award for idea management?","Yes, Dräxlmaier won the German Idea Management Award in 2022."
"Which award did Dräxlmaier receive from BMW in 2022?","In 2022, Dräxlmaier received the BMW Group Supplier Innovation Award."
"Why did the company receive the 'Schwarzer Löwe' award?","The company received the 'Schwarzer Löwe' business award for its battery plant in Sachsenheim."
"What does the 'TOP Climate Commitment 2023' seal signify?","It signifies the company's commitment to climate action."
"Why did Dräxlmaier win the Cross Border Award?","Dräxlmaier won the Cross Border Award for its cross-border commitment."
"For what did Dräxlmaier Tunisia win an award?","Dräxlmaier Tunisia won an award for the best CSR campaign for sustainable innovation."
"What is the Family Business Hall of Fame?","It is an honor that Fritz Dräxlmaier was inducted into in 2024 for his extraordinary achievements."
"In what areas does the company engage in social commitment?","The company engages in social commitment in the areas of education, social issues, the environment, culture, and sport."
"Which basketball team does Dräxlmaier sponsor?","Dräxlmaier sponsors the Baskets Vilsbiburg."
"How does the company support young basketball players?","The company supports young players by sponsoring the 'Baskets Grundschulliga'."
"Which film festival does Dräxlmaier sponsor?","Dräxlmaier sponsors the Landshut Short Film Festival."
"Does the company donate to local charities?","Yes, the company makes regular donations to various charitable organizations in the region."
"Does Dräxlmaier's social responsibility extend beyond Germany?","Yes, the company is a corporate citizen at its international locations as well."
"What is an example of their social work in Romania?","In Romania, the company donated medical equipment to two hospitals."
"What did the book by Tobias Nickel detail?","The book 'Dräxlmeier - we create character' by Tobias Nickel details the story and character of the company."
"What product is Dräxlmaier considered the inventor of?","Dräxlmaier is considered the inventor of the customised wiring harness."
"Who were the founders of the company?","The founders were Lisa and Fritz Dräxlmaier Sr."
"What was the first item produced for the Goggomobil?","The first item produced was wiring harnesses."
"What other components were supplied for the Goggomobil?","Later, the entire vehicle equipment, including panels and coverings, were supplied."
"What manufacturing processes were introduced in the 1960s?","In the 1960s, systems for welding door panels and forming thermoplastic sheets were introduced."
"What was the role of the 1987 warehouse in the company's logistics?","The 1987 warehouse controlled the material flow and all essential Just-In-Time/Just-In-Sequence processes."
"What does JIT/JIS mean in logistics?","JIT/JIS stands for Just-In-Time/Just-In-Sequence, a logistics method."
"What event in 1994 established Dräxlmaier as a system supplier?","The order to supply the complete cockpit for the Mercedes-Benz CLK established them as a system supplier."
"What is the function of the Dräxlmaier Technology Centre?","The Technology Centre in Vilsbiburg serves as the company's central hub for research and development."
"Did Dräxlmaier have a business in aviation?","Yes, Dräxlmaier Aviation GmbH produced interiors for private and business aircraft from 2013 to 2017."
"What is produced at the Sachsenheim facility?","The Sachsenheim facility produces high-voltage 800-volt automotive batteries."
"When did the current management team take over?","The current management team of Stefan Brandl and Franz Haslinger took over in August 2021."
"How has Forbes magazine honored the company?","Forbes has honored the company by naming it one of the 'World's Best Employers' multiple times."
"What does the Cross Border Award recognize?","It recognizes commitment to cross-border business activities."
"What CSR initiative was recognized in Tunisia?","The company's campaign for sustainable innovation was recognized as the best CSR campaign."
